X4PP;City;Municipality;Province
1484;Graft;Alkmaar;Noord-Holland
1485;Noordeinde;Alkmaar;Noord-Holland
1486;West-Graftdijk;Alkmaar;Noord-Holland
1487;Oost-Graftdijk;Alkmaar;Noord-Holland
1488;Starnmeer;Alkmaar;Noord-Holland
1536;Markenbinnen;Alkmaar;Noord-Holland
1636;Schermerhorn;Alkmaar;Noord-Holland
1646;Ursem gem. S;Alkmaar;Noord-Holland
1800;Alkmaar;Alkmaar;Noord-Holland
1801;Alkmaar;Alkmaar;Noord-Holland
1802;Alkmaar;Alkmaar;Noord-Holland
1810;Alkmaar;Alkmaar;Noord-Holland
1811;Alkmaar;Alkmaar;Noord-Holland
1812;Alkmaar;Alkmaar;Noord-Holland
1813;Alkmaar;Alkmaar;Noord-Holland
1814;Alkmaar;Alkmaar;Noord-Holland
1815;Alkmaar;Alkmaar;Noord-Holland
1816;Alkmaar;Alkmaar;Noord-Holland
1817;Alkmaar;Alkmaar;Noord-Holland
1821;Alkmaar;Alkmaar;Noord-Holland
1822;Alkmaar;Alkmaar;Noord-Holland
1823;Alkmaar;Alkmaar;Noord-Holland
1824;Alkmaar;Alkmaar;Noord-Holland
1825;Alkmaar;Alkmaar;Noord-Holland
1826;Alkmaar;Alkmaar;Noord-Holland
1827;Alkmaar;Alkmaar;Noord-Holland
1829;Oudorp;Alkmaar;Noord-Holland
1831;Koedijk;Alkmaar;Noord-Holland
1840;Stompetoren;Alkmaar;Noord-Holland
1841;Stompetoren;Alkmaar;Noord-Holland
1843;Grootschermer;Alkmaar;Noord-Holland
1844;Driehuizen;Alkmaar;Noord-Holland
1846;Zuidschermer;Alkmaar;Noord-Holland
1847;Driehuizen;Alkmaar;Noord-Holland
7600;Almelo;Almelo;Overijssel
7601;Almelo;Almelo;Overijssel
7602;Almelo;Almelo;Overijssel
7603;Almelo;Almelo;Overijssel
7604;Almelo;Almelo;Overijssel
7605;Almelo;Almelo;Overijssel
7606;Almelo;Almelo;Overijssel
7607;Almelo;Almelo;Overijssel
7608;Almelo;Almelo;Overijssel
7609;Almelo;Almelo;Overijssel
7610;Almelo;Almelo;Overijssel
7611;Aadorp;Almelo;Overijssel
7627;Bornerbroek;Almelo;Overijssel
1300;Almere;Almere;Flevoland
1301;Almere;Almere;Flevoland
1302;Almere;Almere;Flevoland
1303;Almere;Almere;Flevoland
1305;Almere;Almere;Flevoland
1309;Almere;Almere;Flevoland
1311;Almere;Almere;Flevoland
1312;Almere;Almere;Flevoland
1313;Almere;Almere;Flevoland
1314;Almere;Almere;Flevoland
1315;Almere;Almere;Flevoland
1316;Almere;Almere;Flevoland
1317;Almere;Almere;Flevoland
1318;Almere;Almere;Flevoland
1319;Almere;Almere;Flevoland
1320;Almere;Almere;Flevoland
1321;Almere;Almere;Flevoland
1322;Almere;Almere;Flevoland
1323;Almere;Almere;Flevoland
1324;Almere;Almere;Flevoland
1325;Almere;Almere;Flevoland
1326;Almere;Almere;Flevoland
1327;Almere;Almere;Flevoland
1328;Almere;Almere;Flevoland
1329;Almere;Almere;Flevoland
1331;Almere;Almere;Flevoland
1332;Almere;Almere;Flevoland
1333;Almere;Almere;Flevoland
1334;Almere;Almere;Flevoland
1335;Almere;Almere;Flevoland
1336;Almere;Almere;Flevoland
1338;Almere;Almere;Flevoland
1339;Almere;Almere;Flevoland
1341;Almere;Almere;Flevoland
1343;Almere;Almere;Flevoland
1349;Almere;Almere;Flevoland
1351;Almere;Almere;Flevoland
1352;Almere;Almere;Flevoland
1353;Almere;Almere;Flevoland
1354;Almere;Almere;Flevoland
1355;Almere;Almere;Flevoland
1356;Almere;Almere;Flevoland
1357;Almere;Almere;Flevoland
1358;Almere;Almere;Flevoland
1359;Almere;Almere;Flevoland
1361;Almere;Almere;Flevoland
1362;Almere;Almere;Flevoland
1363;Almere;Almere;Flevoland
2390;Hazerswoude-Dorp;Alphen aan den Rijn;Zuid-Holland
2391;Hazerswoude-Rijndijk;Alphen aan den Rijn;Zuid-Holland
2394;Koudekerk aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2396;Koudekerk aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2400;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2401;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2402;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2403;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2404;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2405;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2406;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2407;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2408;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2409;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
2445;Aarlanderveen;Alphen aan den Rijn;Zuid-Holland
2470;Zwammerdam;Alphen aan den Rijn;Zuid-Holland
2471;Zwammerdam;Alphen aan den Rijn;Zuid-Holland
2730;Benthuizen;Alphen aan den Rijn;Zuid-Holland
2731;Benthuizen;Alphen aan den Rijn;Zuid-Holland
2770;Boskoop;Alphen aan den Rijn;Zuid-Holland
2771;Boskoop;Alphen aan den Rijn;Zuid-Holland
4855;Galder;Alphen-Chaam;Noord-Brabant
4856;Strijbeek;Alphen-Chaam;Noord-Brabant
4858;Ulvenhout AC;Alphen-Chaam;Noord-Brabant
4859;Bavel AC;Alphen-Chaam;Noord-Brabant
4860;Chaam;Alphen-Chaam;Noord-Brabant
4861;Chaam;Alphen-Chaam;Noord-Brabant
5130;Alphen;Alphen-Chaam;Noord-Brabant
9160;Hollum;Ameland;Friesland
9161;Hollum;Ameland;Friesland
9162;Ballum;Ameland;Friesland
9163;Ballum;Ameland;Friesland
9164;Buren;Ameland;Friesland
2324;Amersfoort;Amersfoort;Zuid-Holland
3800;Amersfoort;Amersfoort;Utrecht
3802;Amersfoort;Amersfoort;Utrecht
3811;Amersfoort;Amersfoort;Utrecht
3812;Amersfoort;Amersfoort;Utrecht
3813;Amersfoort;Amersfoort;Utrecht
3814;Amersfoort;Amersfoort;Utrecht
3815;Amersfoort;Amersfoort;Utrecht
3816;Amersfoort;Amersfoort;Utrecht
3817;Amersfoort;Amersfoort;Utrecht
3818;Amersfoort;Amersfoort;Utrecht
3819;Amersfoort;Amersfoort;Utrecht
3821;Amersfoort;Amersfoort;Utrecht
3822;Amersfoort;Amersfoort;Utrecht
3823;Amersfoort;Amersfoort;Utrecht
3824;Amersfoort;Amersfoort;Utrecht
3825;Amersfoort;Amersfoort;Utrecht
3826;Amersfoort;Amersfoort;Utrecht
3828;Hoogland;Amersfoort;Utrecht
3829;Hooglanderveen;Amersfoort;Utrecht
3836;Stoutenburg Noord;Amersfoort;Utrecht
1180;Amstelveen;Amstelveen;Noord-Holland
1182;Amstelveen;Amstelveen;Noord-Holland
1184;Amstelveen;Amstelveen;Noord-Holland
1185;Amstelveen;Amstelveen;Noord-Holland
1186;Amstelveen;Amstelveen;Noord-Holland
1187;Amstelveen;Amstelveen;Noord-Holland
1188;Amstelveen;Amstelveen;Noord-Holland
1189;Amstelveen;Amstelveen;Noord-Holland
1422;Amstelveen;Amstelveen;Noord-Holland
1432;Amstelveen;Amstelveen;Noord-Holland
1000;Amsterdam;Amsterdam;Noord-Holland
1001;Amsterdam;Amsterdam;Noord-Holland
1002;Amsterdam;Amsterdam;Noord-Holland
1003;Amsterdam;Amsterdam;Noord-Holland
1005;Amsterdam;Amsterdam;Noord-Holland
1006;Amsterdam;Amsterdam;Noord-Holland
1007;Amsterdam;Amsterdam;Noord-Holland
1008;Amsterdam;Amsterdam;Noord-Holland
1009;Amsterdam;Amsterdam;Noord-Holland
1011;Amsterdam;Amsterdam;Noord-Holland
1012;Amsterdam;Amsterdam;Noord-Holland
1013;Amsterdam;Amsterdam;Noord-Holland
1014;Amsterdam;Amsterdam;Noord-Holland
1015;Amsterdam;Amsterdam;Noord-Holland
1016;Amsterdam;Amsterdam;Noord-Holland
1017;Amsterdam;Amsterdam;Noord-Holland
1018;Amsterdam;Amsterdam;Noord-Holland
1019;Amsterdam;Amsterdam;Noord-Holland
1020;Amsterdam;Amsterdam;Noord-Holland
1021;Amsterdam;Amsterdam;Noord-Holland
1022;Amsterdam;Amsterdam;Noord-Holland
1023;Amsterdam;Amsterdam;Noord-Holland
1024;Amsterdam;Amsterdam;Noord-Holland
1025;Amsterdam;Amsterdam;Noord-Holland
1026;Amsterdam;Amsterdam;Noord-Holland
1027;Amsterdam;Amsterdam;Noord-Holland
1028;Amsterdam;Amsterdam;Noord-Holland
1030;Amsterdam;Amsterdam;Noord-Holland
1031;Amsterdam;Amsterdam;Noord-Holland
1032;Amsterdam;Amsterdam;Noord-Holland
1033;Amsterdam;Amsterdam;Noord-Holland
1034;Amsterdam;Amsterdam;Noord-Holland
1035;Amsterdam;Amsterdam;Noord-Holland
1036;Amsterdam;Amsterdam;Noord-Holland
1037;Amsterdam;Amsterdam;Noord-Holland
1040;Amsterdam;Amsterdam;Noord-Holland
1041;Amsterdam;Amsterdam;Noord-Holland
1042;Amsterdam;Amsterdam;Noord-Holland
1043;Amsterdam;Amsterdam;Noord-Holland
1044;Amsterdam;Amsterdam;Noord-Holland
1045;Amsterdam;Amsterdam;Noord-Holland
1046;Amsterdam;Amsterdam;Noord-Holland
1047;Amsterdam;Amsterdam;Noord-Holland
1051;Amsterdam;Amsterdam;Noord-Holland
1052;Amsterdam;Amsterdam;Noord-Holland
1053;Amsterdam;Amsterdam;Noord-Holland
1054;Amsterdam;Amsterdam;Noord-Holland
1055;Amsterdam;Amsterdam;Noord-Holland
1056;Amsterdam;Amsterdam;Noord-Holland
1057;Amsterdam;Amsterdam;Noord-Holland
1058;Amsterdam;Amsterdam;Noord-Holland
1059;Amsterdam;Amsterdam;Noord-Holland
1060;Amsterdam;Amsterdam;Noord-Holland
1061;Amsterdam;Amsterdam;Noord-Holland
1062;Amsterdam;Amsterdam;Noord-Holland
1063;Amsterdam;Amsterdam;Noord-Holland
1064;Amsterdam;Amsterdam;Noord-Holland
1065;Amsterdam;Amsterdam;Noord-Holland
1066;Amsterdam;Amsterdam;Noord-Holland
1067;Amsterdam;Amsterdam;Noord-Holland
1068;Amsterdam;Amsterdam;Noord-Holland
1069;Amsterdam;Amsterdam;Noord-Holland
1070;Amsterdam;Amsterdam;Noord-Holland
1071;Amsterdam;Amsterdam;Noord-Holland
1072;Amsterdam;Amsterdam;Noord-Holland
1073;Amsterdam;Amsterdam;Noord-Holland
1074;Amsterdam;Amsterdam;Noord-Holland
1075;Amsterdam;Amsterdam;Noord-Holland
1076;Amsterdam;Amsterdam;Noord-Holland
1077;Amsterdam;Amsterdam;Noord-Holland
1078;Amsterdam;Amsterdam;Noord-Holland
1079;Amsterdam;Amsterdam;Noord-Holland
1080;Amsterdam;Amsterdam;Noord-Holland
1081;Amsterdam;Amsterdam;Noord-Holland
1082;Amsterdam;Amsterdam;Noord-Holland
1083;Amsterdam;Amsterdam;Noord-Holland
1086;Amsterdam;Amsterdam;Noord-Holland
1087;Amsterdam;Amsterdam;Noord-Holland
1090;Amsterdam;Amsterdam;Noord-Holland
1091;Amsterdam;Amsterdam;Noord-Holland
1092;Amsterdam;Amsterdam;Noord-Holland
1093;Amsterdam;Amsterdam;Noord-Holland
1094;Amsterdam;Amsterdam;Noord-Holland
1095;Amsterdam;Amsterdam;Noord-Holland
1096;Amsterdam;Amsterdam;Noord-Holland
1097;Amsterdam;Amsterdam;Noord-Holland
1098;Amsterdam;Amsterdam;Noord-Holland
1100;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1101;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1102;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1103;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1104;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1105;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1106;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1107;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1108;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1109;Amsterdam Zuidoost;Amsterdam;Noord-Holland
1181;Amsterdam;Amsterdam;Noord-Holland
1183;Amsterdam;Amsterdam;Noord-Holland
3888;Uddel;Apeldoorn;Gelderland
7300;Apeldoorn;Apeldoorn;Gelderland
7301;Apeldoorn;Apeldoorn;Gelderland
7302;Apeldoorn;Apeldoorn;Gelderland
7303;Apeldoorn;Apeldoorn;Gelderland
7311;Apeldoorn;Apeldoorn;Gelderland
7312;Apeldoorn;Apeldoorn;Gelderland
7313;Apeldoorn;Apeldoorn;Gelderland
7314;Apeldoorn;Apeldoorn;Gelderland
7315;Apeldoorn;Apeldoorn;Gelderland
7316;Apeldoorn;Apeldoorn;Gelderland
7317;Apeldoorn;Apeldoorn;Gelderland
7320;Apeldoorn;Apeldoorn;Gelderland
7321;Apeldoorn;Apeldoorn;Gelderland
7322;Apeldoorn;Apeldoorn;Gelderland
7323;Apeldoorn;Apeldoorn;Gelderland
7324;Apeldoorn;Apeldoorn;Gelderland
7325;Klarenbeek;Apeldoorn;Gelderland
7326;Apeldoorn;Apeldoorn;Gelderland
7327;Apeldoorn;Apeldoorn;Gelderland
7328;Apeldoorn;Apeldoorn;Gelderland
7329;Apeldoorn;Apeldoorn;Gelderland
7331;Apeldoorn;Apeldoorn;Gelderland
7332;Apeldoorn;Apeldoorn;Gelderland
7333;Apeldoorn;Apeldoorn;Gelderland
7334;Apeldoorn;Apeldoorn;Gelderland
7335;Apeldoorn;Apeldoorn;Gelderland
7336;Ugchelen;Apeldoorn;Gelderland
7339;Ugchelen;Apeldoorn;Gelderland
7341;Beemte Broekland;Apeldoorn;Gelderland
7342;Apeldoorn;Apeldoorn;Gelderland
7345;Wenum Wiesel;Apeldoorn;Gelderland
7346;Hoog Soeren;Apeldoorn;Gelderland
7348;Radio Kootwijk;Apeldoorn;Gelderland
7350;Hoenderloo;Apeldoorn;Gelderland
7351;Hoenderloo;Apeldoorn;Gelderland
7360;Beekbergen;Apeldoorn;Gelderland
7361;Beekbergen;Apeldoorn;Gelderland
7364;Lieren;Apeldoorn;Gelderland
7370;Loenen;Apeldoorn;Gelderland
7371;Loenen;Apeldoorn;Gelderland
7380;Klarenbeek;Apeldoorn;Gelderland
7381;Klarenbeek;Apeldoorn;Gelderland
9900;Appingedam;Appingedam;Groningen
9901;Appingedam;Appingedam;Groningen
9902;Appingedam;Appingedam;Groningen
9903;Appingedam;Appingedam;Groningen
6800;Arnhem;Arnhem;Gelderland
6801;Arnhem;Arnhem;Gelderland
6802;Arnhem;Arnhem;Gelderland
6803;Arnhem;Arnhem;Gelderland
6811;Arnhem;Arnhem;Gelderland
6812;Arnhem;Arnhem;Gelderland
6813;Arnhem;Arnhem;Gelderland
6814;Arnhem;Arnhem;Gelderland
6815;Arnhem;Arnhem;Gelderland
6816;Arnhem;Arnhem;Gelderland
6817;Arnhem;Arnhem;Gelderland
6821;Arnhem;Arnhem;Gelderland
6822;Arnhem;Arnhem;Gelderland
6823;Arnhem;Arnhem;Gelderland
6824;Arnhem;Arnhem;Gelderland
6825;Arnhem;Arnhem;Gelderland
6826;Arnhem;Arnhem;Gelderland
6827;Arnhem;Arnhem;Gelderland
6828;Arnhem;Arnhem;Gelderland
6831;Arnhem;Arnhem;Gelderland
6832;Arnhem;Arnhem;Gelderland
6833;Arnhem;Arnhem;Gelderland
6834;Arnhem;Arnhem;Gelderland
6835;Arnhem;Arnhem;Gelderland
6836;Arnhem;Arnhem;Gelderland
6841;Arnhem;Arnhem;Gelderland
6842;Arnhem;Arnhem;Gelderland
6843;Arnhem;Arnhem;Gelderland
6844;Arnhem;Arnhem;Gelderland
6845;Arnhem;Arnhem;Gelderland
6846;Arnhem;Arnhem;Gelderland
9400;Assen;Assen;Drenthe
9401;Assen;Assen;Drenthe
9402;Assen;Assen;Drenthe
9403;Assen;Assen;Drenthe
9404;Assen;Assen;Drenthe
9405;Assen;Assen;Drenthe
9406;Assen;Assen;Drenthe
9407;Assen;Assen;Drenthe
9408;Assen;Assen;Drenthe
9409;Loon;Assen;Drenthe
9486;Rhee;Assen;Drenthe
9487;Ter Aard;Assen;Drenthe
9488;Zeijerveld;Assen;Drenthe
9489;Assen;Assen;Drenthe
9491;Zeijerveld;Assen;Drenthe
9492;Ubbena;Assen;Drenthe
5720;Asten;Asten;Noord-Brabant
5724;Asten;Asten;Noord-Brabant
5725;Heusden;Asten;Noord-Brabant
5110;Baarle-Nassau;Baarle-Nassau;Noord-Brabant
5111;Baarle-Nassau;Baarle-Nassau;Noord-Brabant
5113;Ulicoten;Baarle-Nassau;Noord-Brabant
5114;Baarle-Nassau;Baarle-Nassau;Noord-Brabant
3740;Baarn;Baarn;Utrecht
3741;Baarn;Baarn;Utrecht
3742;Baarn;Baarn;Utrecht
3743;Baarn;Baarn;Utrecht
3744;Baarn;Baarn;Utrecht
3749;Lage Vuursche;Baarn;Utrecht
2990;Barendrecht;Barendrecht;Zuid-Holland
2991;Barendrecht;Barendrecht;Zuid-Holland
2992;Barendrecht;Barendrecht;Zuid-Holland
2993;Barendrecht;Barendrecht;Zuid-Holland
2994;Barendrecht;Barendrecht;Zuid-Holland
3770;Barneveld;Barneveld;Gelderland
3771;Barneveld;Barneveld;Gelderland
3772;Barneveld;Barneveld;Gelderland
3773;Barneveld;Barneveld;Gelderland
3774;Kootwijkerbroek;Barneveld;Gelderland
3775;Kootwijk;Barneveld;Gelderland
3776;Stroe;Barneveld;Gelderland
3780;Voorthuizen;Barneveld;Gelderland
3781;Voorthuizen;Barneveld;Gelderland
3784;Terschuur;Barneveld;Gelderland
3785;Zwartebroek;Barneveld;Gelderland
3790;Achterveld;Barneveld;Utrecht
3792;Achterveld;Barneveld;Gelderland
3794;De Glind;Barneveld;Gelderland
3886;Garderen;Barneveld;Gelderland
7920;Zuidwolde;Bedum;Drenthe
9780;Bedum;Bedum;Groningen
9781;Bedum;Bedum;Groningen
9784;Noordwolde;Bedum;Groningen
9785;Zuidwolde;Bedum;Groningen
9959;Onderdendam;Bedum;Groningen
6176;Spaubeek;Beek;Limburg
6190;Beek;Beek;Limburg
6191;Beek;Beek;Limburg
6199;Maastricht-Airport;Beek;Limburg
7037;Beek;Beek;Gelderland
1461;Zuidoostbeemster;Beemster;Noord-Holland
1462;Middenbeemster;Beemster;Noord-Holland
1463;Noordbeemster;Beemster;Noord-Holland
1464;Westbeemster;Beemster;Noord-Holland
5953;Reuver;Beesel;Limburg
5954;Beesel;Beesel;Limburg
9566;Veelerveen;Bellingwedde;Groningen
9695;Bellingwolde;Bellingwedde;Groningen
9696;Oudeschans;Bellingwedde;Groningen
9697;Blijham;Bellingwedde;Groningen
9698;Wedde;Bellingwedde;Groningen
9699;Vriescheloo;Bellingwedde;Groningen
2825;Berkenwoude;Bergambacht;Zuid-Holland
2860;Bergambacht;Bergambacht;Zuid-Holland
2861;Bergambacht;Bergambacht;Zuid-Holland
2865;Ammerstol;Bergambacht;Zuid-Holland
5560;Riethoven;Bergeijk;Noord-Brabant
5561;Riethoven;Bergeijk;Noord-Brabant
5563;Westerhoven;Bergeijk;Noord-Brabant
5570;Bergeijk;Bergeijk;Noord-Brabant
5571;Bergeijk;Bergeijk;Noord-Brabant
5575;Luyksgestel;Bergeijk;Noord-Brabant
5851;Afferden;Bergen (L.);Flevoland
5853;Siebengewald;Bergen (L.);Limburg
5854;Bergen (L.);Bergen (L.);Limburg
5855;Well;Bergen (L.);Limburg
5856;Wellerlooi;Bergen (L.);Limburg
1860;Bergen (NH.);Bergen (NH.);Noord-Holland
1861;Bergen (NH.);Bergen (NH.);Noord-Holland
1862;Bergen (NH.);Bergen (NH.);Noord-Holland
1865;Bergen aan Zee;Bergen (NH.);Noord-Holland
1870;Schoorl;Bergen (NH.);Noord-Holland
1871;Schoorl;Bergen (NH.);Noord-Holland
1873;Groet;Bergen (NH.);Noord-Holland
1930;Egmond aan Zee;Bergen (NH.);Noord-Holland
1931;Egmond aan den Hoef;Bergen (NH.);Noord-Holland
1934;Egmond aan den Hoef;Bergen (NH.);Noord-Holland
1935;Egmond-Binnen;Bergen (NH.);Noord-Holland
4600;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4601;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4602;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4611;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4612;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4613;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4614;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4615;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4616;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4617;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4621;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4622;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4623;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4624;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4625;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
4660;Halsteren;Bergen op Zoom;Noord-Brabant
4661;Halsteren;Bergen op Zoom;Noord-Brabant
4664;Lepelstraat;Bergen op Zoom;Noord-Brabant
